"","nb_potential_bs","nb_barrels_pbs","nb_containers_under_200_L_pbs","nb_containers_over_200_L_pbs","nb_wells_pbs","nb_green_plants_pbs","nb_other_plants_pbs","nb_large_volumes_pbs","nb_tires_pbs","nb_small_waste_pbs","nb_big_waste_pbs","nb_watercraft_pbs","nb_buildings_materials_pbs","nb_manholes_pbs","nb_protection_pbs","nb_troughs_pbs","nb_pit_pbs","nb_canals_pbs","nb_gutters_pbs","nb_others_pbs","nb_containers_pbs","nb_plants_pbs","nb_waste_pbs","nb_WMI_pbs","C1B201_mean","C2B201_mean","C3B201_mean","h_vegetation_mean","h_buildings_mean","ndwi_P_mean","ndvi_P_mean","lm_vegetation_ca","lm_vegetation_contig_mn","lm_vegetation_cpland","lm_vegetation_lpi","lm_vegetation_lsi","lm_vegetation_pd","lm_vegetation_shape_mn","lm_buildings_ca","lm_buildings_contig_mn","lm_buildings_cpland","lm_buildings_lpi","lm_buildings_lsi","lm_buildings_pd","lm_buildings_shape_mn","number_buildings","mean_size_buildings"
"177",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,-1.00425028800964,-2.18229702115059,-1.1846706494689,11.1748569447057,4.13029800530597,-0.104370666950401,0.791918020233512,NA,NA,NA,NA,NA,NA,NA,0.0307123028507909,0.835497835497836,66.2337662337662,100,1.33333333333333,3256.0241570236,1.33143377351769,1,301.978864
"178",19,3,5,0,1,0,0,0,6,0,1,1,0,0,0,2,0,0,0,0,8,0,8,2,-3.69725778698921,-2.09202471375465,0.481841321103275,2.30227030077954,3.17566182172495,0.0429011458348701,0.685661956302263,3.66499393626576,0.740525761209214,90.364725095264,99.8802395209581,2.75520833333333,54.5703494952515,1.99864764595102,0.132023016150803,0.654912002366103,44.1087613293051,21.1480362537764,3.62162162162162,8331.88054682474,1.1754175527246,8,113.235154
"179",19,6,8,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14,3,1,1,1.65431974548846,-0.788298077881336,0.57340806722641,3.34811144310535,3.00946596607667,0.0268802254996034,0.611805526655074,1.3131731131465,0.476812369053243,75.7824369492555,98.1768459434822,4.6,533.059954542266,1.59382091749382,0.269231226289401,0.70755932313147,43.1111111111111,9.18518518518519,5.15384615384615,8171.41469925626,1.10917939647005,22,107.524368954545
"180",25,2,10,0,0,3,0,0,3,4,0,1,0,0,0,2,0,0,0,0,12,3,8,2,-0.94003695063293,-1.63549114763737,-0.306094214320183,4.57444751508372,3.17284076040291,-0.00645706674987341,0.688198119492206,0.722624280737866,0.74784805852789,79.8453892876864,76.9188293760353,2.80232558139535,553.538001230132,1.53701365024248,0.228547396539003,0.723192558322716,43.804537521815,16.4048865619546,4.60416666666667,7000.73605838233,1.17466547853851,18,119.5361225
"181",27,7,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,8,12,0,-3.34840762615204,-1.17179578542709,-0.282485246658325,9.27723035836282,3.28173750987878,-0.0468763268012739,0.657362733197212,3.1370911624302,0.398371362433862,89.5319257186466,99.7201729839735,3.2247191011236,191.259982236283,1.39991180982929,0.134815043682693,0.677327233991893,62.1301775147929,31.6568047337278,3.2972972972973,5192.29887762047,1.33962915183828,4,199.0593165
"182",4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,25.8779304027557,-2.47632756829262,-2.11009895801544,1.38387867549014,8.64509303114876,0.0732249251234463,0.348479693690026,1.65114261385608,0.489916925609959,81.6819719671339,36.6360560657322,3.91472868217054,726.769444341043,1.34100469289796,0.813676595007967,0.695460804359019,64.0196078431373,34.5098039215686,5.37362637362637,1966.38321639857,1.46649436046201,14,232.202981857143
"183",63,4,10,0,0,15,0,1,3,4,3,0,0,12,0,1,0,2,0,8,14,15,10,15,16.0170843601227,-7.03840804100037,-0.170956522226334,0.991275901622835,4.79399820338299,0.0881847540354826,0.230167295134375,0.349142046187547,0.46669383788534,47.7714285714286,25.7142857142857,6.05,8019.65856182197,1.30112412526537,1.4402873453793,0.779171712322216,62.7527000830795,27.1392965937413,7.56198347107438,1596.90356745743,1.60331376270127,33,265.612161575758
"184",4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6.72143638134003,-6.03545337915421,0.864619024097919,0.254171049714971,4.49914981728338,0.107498676429161,0.301546006688863,0.442113585343773,0.334404313654448,54.7833935018051,63.6281588447653,6.17910447761194,8142.70386466581,1.24827289335642,1.54359236405923,0.756521128673007,67.1317829457364,17.0284237726098,7.072,1425.24674987028,1.58495615272123,28,336.259162607143
"185",21,5,5,0,0,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,10,7,4,0,0.0511710345745087,-2.03581738471985,-0.255038534523919,6.00107407163553,3.7420777092951,0.0576993446142755,0.457177329974371,1.91210135466368,0.5266437805652,67.0492487479132,55.6552587646077,8.07194244604317,1150.56662380063,1.73648522783628,0.551624868086284,0.685541052406034,50.1807664497469,39.3347794649313,6.94666666666667,4894.6306742242,1.34152473833573,27,166.848256592593
"186",48,12,15,1,0,7,1,0,1,7,1,0,0,0,0,3,0,0,0,0,28,8,9,3,4.0338306427002,-3.49492883682251,-0.232077717781067,12.5846808185961,3.16455681678935,0.0192473077274982,0.501484999831335,0.658781163720731,0.492211644196875,46.6989703210176,14.9000605693519,8.46341463414634,5768.22806914814,1.45131703740954,0.849574091846486,0.685365375011759,55.2112676056338,23.3333333333333,7.87096774193548,3060.35697763463,1.55172073299695,39,201.494100282051
